fips,2021-01-14,2021-01-15,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03
2,35508.0,39546.0,55434.0,56911.0,59449.0,67262.0,73014.0,77925.0,80226.0,81200.0,83363.0,85672.0,88654.0,91794.0,94889.0,96396.0,97076.0,98076.0,99596.0,101225.0,103163.0,106311.0,109890.0,110936.0,112448.0,116001.0,118189.0,122463.0,126381.0,129658.0,130751.0,133491.0,143887.0,148299.0,152349.0,153572.0,154618.0,156267.0,158792.0,161595.0,163443.0,166735.0,168069.0,168646.0,170586.0,172414.0,178237.0,180948.0,182230.0,184906.0,188281.0,190712.0,193951.0,197436.0,202410.0,205256.0,206403.0,210932.0,213432.0,216781.0,221157.0,228333.0,230614.0,231342.0,233037.0,236062.0,239599.0,242733.0,245355.0,246515.0,247097.0,248711.0,250378.0,252586.0,254263.0,257375.0,258376.0,258884.0,260622.0,263119.0,265468.0,268587.0,270838.0,272212.0,282684.0,284110.0,284193.0,286100.0,288040.0,290503.0,291456.0,291921.0,294331.0,296911.0,298047.0,299312.0,300351.0,300706.0,301212.0,301770.0,304657.0,305395.0,307711.0,308462.0,308656.0,308846.0,309518.0,310415.0,311397.0,312475.0,312535.0,314070.0,314577.0,315132.0,315883.0,318593.0,320705.0,321214.0,321664.0,323863.0,325229.0,327119.0,328869.0,330605.0,331243.0,331563.0,332524.0,333592.0,335110.0,336394.0,337367.0,338093.0,338229.0,339124.0,340100.0,340957.0,341938.0,342656.0,342912.0,343010.0,343730.0,344459.0,345283.0,345834.0,346459.0,346864.0,347501.0,348126.0,348668.0,349289.0,349769.0,350345.0,350473.0,350776.0,351550.0,352136.0,353979.0,354711.0,355751.0,356834.0,358311.0,358963.0,362684.0,363378.0,364309.0,366245.0,366305.0,366916.0,367466.0,368702.0,369011.0,369207.0,369636.0,370116.0,370746.0,371162.0,372585.0,372762.0,370546.0,371062.0,371514.0,372132.0,372902.0,372940.0,374025.0,374281.0,374736.0,375359.0,376154.0,376882.0,376948.0,377019.0,378395.0,379022.0,379859.0,380643.0,381470.0,381619.0,381639.0,381886.0,382608.0,383274.0,384191.0,384971.0,385053.0,386179.0,386600.0,387173.0,387991.0,388778.0,389526.0,389639.0,389663.0,390953.0,391775.0,392662.0,393512.0,394238.0,394485.0,396069.0,396543.0,397332.0,398263.0,399260.0
1,80480.0,86956.0,114319.0,121113.0,144429.0,174317.0,193955.0,213833.0,220464.0,223854.0,232633.0,241337.0,256601.0,288368.0,298301.0,301628.0,312711.0,324998.0,338845.0,353522.0,370275.0,375567.0,378514.0,395196.0,412462.0,431259.0,448071.0,467032.0,474065.0,486206.0,494424.0,505660.0,545431.0,560968.0,567505.0,583741.0,593936.0,604602.0,615100.0,627063.0,628583.0,649745.0,653309.0,663187.0,674810.0,688791.0,721109.0,727681.0,732967.0,747268.0,768502.0,790864.0,816418.0,841394.0,849337.0,854302.0,871536.0,893767.0,912663.0,937614.0,960539.0,968459.0,972986.0,994253.0,1019858.0,1048838.0,1072623.0,1098597.0,1108253.0,1113924.0,1134739.0,1155139.0,1184284.0,1211424.0,1234131.0,1242706.0,1248029.0,1267859.0,1291487.0,1317995.0,1344658.0,1371201.0,1382951.0,1389598.0,1407463.0,1426530.0,1442051.0,1459377.0,1476162.0,1481314.0,1483779.0,1494421.0,1507116.0,1518928.0,1531741.0,1543544.0,1546659.0,1549782.0,1558652.0,1568315.0,1579093.0,1589518.0,1599130.0,1601433.0,1603454.0,1609919.0,1618791.0,1619783.0,1636710.0,1649688.0,1654267.0,1657672.0,1658191.0,1664353.0,1678119.0,1697289.0,1699751.0,1699915.0,1709333.0,1709761.0,1725694.0,1727437.0,1736645.0,1746820.0,1747012.0,1754294.0,1757607.0,1758850.0,1763553.0,1765515.0,1766055.0,1766784.0,1768055.0,1768288.0,1771964.0,1772245.0,1773379.0,1774139.0,1774535.0,1776278.0,1787017.0,1793119.0,1805486.0,1810074.0,1815885.0,1816769.0,1822146.0,1898131.0,1898704.0,1909005.0,1913032.0,1915122.0,1918334.0,1922707.0,1928656.0,1928903.0,1933773.0,1941681.0,1948135.0,1953410.0,1954166.0,1962745.0,1962952.0,1969834.0,1969971.0,1976343.0,1978951.0,1982250.0,1985582.0,1992957.0,1993099.0,2000752.0,2000914.0,2009200.0,2013559.0,2013853.0,2018807.0,2022782.0,2024953.0,2034814.0,2041288.0,2041597.0,2048890.0,2058672.0,2067533.0,2073358.0,2092767.0,2093242.0,2116551.0,2117044.0,2130105.0,2130309.0,2154479.0,2164048.0,2168426.0,2192650.0,2207345.0,2207724.0,2217468.0,2231388.0,2233401.0,2245275.0,2256357.0,2260327.0,2275050.0,2289141.0,2295863.0,2302598.0,2312990.0,2330695.0,2340782.0,2345934.0,2358550.0,2368289.0,2370282.0,2380869.0,2399704.0,2415007.0,2426453.0,2432879.0,2442247.0,2444342.0,2452547.0,2461343.0
5,90339.0,97829.0,118763.0,144792.0,144792.0,167788.0,167788.0,179290.0,185546.0,196815.0,209445.0,209445.0,221552.0,233935.0,244867.0,249943.0,251841.0,256307.0,266563.0,274459.0,290153.0,300139.0,304604.0,305917.0,311339.0,316972.0,325562.0,330146.0,338611.0,343637.0,345271.0,346623.0,362972.0,364735.0,367436.0,371148.0,373476.0,378928.0,385351.0,394906.0,404883.0,419502.0,425567.0,431866.0,442371.0,452615.0,477127.0,489149.0,494761.0,501653.0,513591.0,514556.0,541936.0,579022.0,579157.0,586266.0,589436.0,602085.0,615670.0,635565.0,653550.0,670894.0,677806.0,680549.0,694124.0,710494.0,730820.0,747412.0,763783.0,769106.0,772457.0,788277.0,803744.0,822604.0,855314.0,856162.0,861082.0,867707.0,881099.0,897978.0,911997.0,929582.0,944947.0,950204.0,952900.0,965352.0,978137.0,989656.0,999727.0,1010421.0,1013104.0,1015859.0,1024343.0,1033132.0,1039897.0,1046195.0,1051126.0,1053861.0,1055239.0,1060712.0,1067532.0,1071773.0,1077072.0,1081910.0,1083702.0,1085254.0,1088927.0,1094338.0,1098559.0,1102155.0,1107515.0,1109772.0,1112883.0,1116295.0,1119545.0,1129189.0,1134540.0,1136470.0,1138400.0,1142312.0,1148175.0,1154071.0,1161133.0,1166144.0,1168568.0,1170081.0,1174803.0,1179098.0,1183172.0,1188623.0,1192829.0,1195224.0,1196107.0,1198872.0,1202166.0,1206409.0,1209937.0,1210066.0,1212579.0,1215294.0,1218544.0,1218577.0,1221583.0,1224374.0,1227489.0,1229128.0,1231211.0,1234029.0,1236370.0,1239190.0,1241645.0,1243445.0,1244203.0,1246153.0,1248617.0,1251436.0,1253921.0,1257381.0,1259357.0,1260136.0,1262602.0,1268867.0,1272492.0,1275988.0,1279156.0,1281558.0,1282733.0,1285934.0,1289373.0,1297247.0,1299417.0,1300846.0,1304706.0,1309002.0,1313033.0,1321430.0,1327799.0,1330885.0,1332741.0,1338218.0,1345766.0,1352937.0,1362806.0,1372629.0,1377405.0,1380254.0,1388435.0,1397052.0,1405459.0,1412910.0,1422822.0,1428148.0,1430838.0,1448530.0,1456812.0,1465389.0,1474010.0,1482755.0,1486977.0,1490336.0,1497866.0,1505180.0,1513243.0,1521476.0,1529378.0,1532747.0,1537728.0,1544867.0,1550501.0,1555389.0,1560800.0,1568334.0,1570982.0,1573166.0,1578875.0,1585195.0,1591251.0,1595968.0,1600965.0,1603140.0,1604567.0,1609947.0,1615085.0,1619513.0
60,2409.0,3144.0,3985.0,4476.0,4734.0,5627.0,5881.0,7096.0,7096.0,7365.0,8133.0,8133.0,8926.0,8926.0,8926.0,9713.0,9713.0,9759.0,9761.0,9775.0,9779.0,9779.0,9779.0,9792.0,9818.0,9822.0,10057.0,10062.0,10062.0,10236.0,10267.0,10267.0,10267.0,10831.0,10948.0,11054.0,11054.0,11814.0,11814.0,12351.0,12276.0,12355.0,12355.0,13028.0,13029.0,13467.0,13468.0,13469.0,13469.0,13471.0,15085.0,15085.0,15085.0,15082.0,15083.0,15377.0,15378.0,15379.0,15381.0,15383.0,15384.0,15386.0,16916.0,17114.0,17371.0,17385.0,17548.0,17567.0,17570.0,17575.0,17718.0,17856.0,17856.0,18097.0,18097.0,18099.0,18100.0,18100.0,18598.0,18650.0,18895.0,18895.0,19406.0,19406.0,19408.0,19632.0,19633.0,20247.0,20248.0,20248.0,20253.0,20255.0,20341.0,20342.0,20901.0,20902.0,21165.0,21165.0,21284.0,21284.0,21552.0,21731.0,21732.0,21732.0,21732.0,21904.0,22002.0,22002.0,22119.0,22122.0,22122.0,22122.0,22122.0,22122.0,22334.0,22498.0,22498.0,22498.0,22498.0,22964.0,22964.0,23160.0,23160.0,23160.0,23161.0,23161.0,23161.0,23419.0,23419.0,23419.0,23419.0,23419.0,23806.0,23807.0,23807.0,23982.0,23982.0,23982.0,23982.0,23982.0,23982.0,24160.0,24160.0,24331.0,24331.0,24552.0,24684.0,24684.0,24917.0,24917.0,24917.0,24917.0,25105.0,25105.0,25321.0,25471.0,25507.0,25507.0,25507.0,25507.0,25507.0,25939.0,26059.0,26088.0,26226.0,26226.0,26495.0,26529.0,26717.0,26735.0,26736.0,27083.0,27279.0,27329.0,27509.0,27509.0,27509.0,27509.0,27586.0,27814.0,27845.0,27847.0,27980.0,27980.0,28496.0,28496.0,28767.0,28767.0,28768.0,28922.0,28922.0,29008.0,29008.0,29168.0,29168.0,29366.0,29366.0,29366.0,29366.0,29453.0,29454.0,29454.0,29730.0,29749.0,29749.0,29749.0,29957.0,29958.0,30150.0,30150.0,30318.0,30318.0,30318.0,30437.0,30545.0,30598.0,30598.0,30600.0,30600.0,30601.0,30602.0,30602.0,30602.0,31454.0
4,157397.0,176213.0,235331.0,246960.0,262120.0,280227.0,305744.0,332095.0,350648.0,366018.0,389059.0,412841.0,439897.0,469916.0,500942.0,524413.0,534476.0,553373.0,573845.0,597525.0,629750.0,656909.0,678697.0,695970.0,719051.0,747599.0,780057.0,811080.0,840252.0,886107.0,892791.0,914468.0,1036237.0,1064109.0,1087921.0,1083205.0,1095494.0,1110854.0,1136024.0,1168054.0,1223520.0,1220706.0,1244879.0,1262868.0,1277294.0,1298827.0,1328642.0,1388900.0,1416598.0,1435152.0,1464494.0,1496266.0,1529482.0,1562876.0,1602626.0,1629972.0,1655300.0,1682456.0,1716937.0,1720172.0,1762337.0,1804760.0,1835039.0,1851810.0,1877865.0,1940953.0,1983569.0,2030110.0,2072778.0,2105116.0,2125696.0,2157694.0,2194105.0,2235527.0,2276832.0,2312278.0,2338969.0,2353075.0,2378505.0,2412162.0,2452911.0,2494850.0,2533121.0,2558747.0,2579710.0,2604648.0,2635334.0,2663248.0,2696688.0,2725197.0,2744596.0,2758177.0,2780137.0,2805338.0,2832476.0,2859184.0,2884396.0,2900707.0,2911060.0,2926506.0,2943500.0,2960823.0,2981885.0,2997499.0,3004111.0,3009821.0,3019286.0,3037050.0,3053333.0,3065521.0,3077983.0,3096670.0,3116726.0,3124285.0,3133742.0,3157721.0,3177747.0,3188365.0,3197814.0,3212922.0,3225461.0,3240593.0,3264181.0,3283433.0,3297376.0,3304861.0,3313198.0,3325305.0,3339450.0,3351394.0,3363587.0,3376964.0,3380842.0,3387142.0,3396807.0,3411332.0,3422113.0,3432146.0,3438501.0,3445342.0,3445917.0,3458651.0,3472644.0,3480815.0,3489208.0,3495144.0,3495529.0,3518666.0,3526830.0,3536550.0,3543792.0,3544231.0,3554332.0,3559571.0,3567569.0,3574736.0,3581918.0,3589792.0,3598714.0,3601676.0,3607576.0,3677400.0,3683827.0,3691058.0,3701295.0,3707397.0,3709771.0,3715441.0,3721733.0,3734606.0,3739001.0,3742271.0,3746711.0,3752339.0,3758455.0,3764742.0,3771082.0,3775565.0,3778555.0,3784173.0,3791136.0,3798435.0,3805849.0,3813660.0,3821791.0,3827054.0,3834491.0,3841746.0,3853257.0,3862065.0,3871294.0,3871584.0,3884930.0,3893533.0,3903168.0,3916686.0,3926057.0,3934473.0,3944780.0,3950148.0,3956517.0,3962971.0,3980872.0,3992849.0,4001959.0,4010968.0,4015261.0,4021634.0,4023573.0,4040296.0,4049314.0,4057082.0,4065735.0,4069535.0,4076371.0,4085580.0,4094831.0,4103699.0,4113416.0,4121994.0,4126485.0,4133279.0,4139735.0,4165994.0
6,801998.0,865387.0,1195969.0,1255311.0,1335886.0,1477195.0,1661683.0,1838464.0,1954048.0,2053652.0,2156029.0,2281453.0,2415659.0,2563559.0,2717530.0,2861767.0,2940488.0,3044980.0,3085932.0,3228084.0,3389906.0,3653538.0,3811715.0,3880253.0,3994969.0,4108216.0,4222810.0,4345018.0,4493220.0,4708607.0,4766592.0,4865151.0,5159868.0,5285256.0,5426591.0,5494435.0,5560177.0,5639811.0,5737092.0,5862161.0,6004784.0,6141765.0,6294258.0,6520515.0,6661278.0,6739681.0,7075139.0,7205989.0,7318100.0,7400238.0,7497005.0,7600220.0,7738923.0,8025538.0,8027407.0,8287692.0,8540236.0,8847129.0,9097819.0,9302378.0,9562989.0,9833939.0,10070870.0,10279020.0,10522002.0,10757446.0,11059981.0,11323197.0,11574081.0,11802833.0,11929476.0,12120118.0,12376871.0,12625303.0,12935569.0,13292476.0,13529603.0,13636653.0,13880287.0,14123008.0,14445185.0,14803675.0,15123816.0,15320888.0,15451699.0,15797249.0,16125197.0,16475520.0,16772771.0,17076851.0,17276173.0,17416579.0,17580351.0,17777363.0,17946815.0,18212594.0,18487071.0,18667924.0,18786817.0,18913274.0,19054735.0,19178415.0,19444906.0,19593097.0,19673364.0,19712296.0,19786567.0,19913673.0,20047379.0,20172726.0,20284982.0,20393934.0,20468459.0,20534647.0,20623587.0,20838068.0,20995335.0,21092951.0,21168286.0,21273160.0,21390051.0,21531027.0,21686713.0,21818408.0,21898286.0,21951901.0,22021826.0,22109031.0,22205874.0,22297569.0,22389100.0,22503069.0,22526275.0,22573961.0,22679601.0,22815649.0,22894006.0,22957251.0,22990099.0,23037640.0,23038863.0,23112688.0,23211912.0,23274646.0,23325861.0,23370026.0,23455298.0,23516676.0,23582084.0,23655995.0,23715617.0,23762317.0,23787425.0,23835449.0,23892051.0,23963889.0,24017119.0,24083469.0,24135285.0,24173937.0,24241875.0,24304553.0,24359976.0,24412454.0,24467685.0,24515453.0,24532324.0,24577801.0,24639368.0,24731993.0,24757575.0,24772377.0,24808278.0,24865725.0,24911511.0,24954403.0,25002431.0,25041270.0,25046828.0,25090033.0,25138815.0,25192441.0,25245712.0,25310119.0,25348003.0,25372076.0,25422258.0,25479095.0,25549997.0,25611830.0,25684580.0,25726550.0,25754408.0,25808071.0,25871716.0,25937550.0,25998296.0,26070279.0,26113508.0,26140858.0,26194546.0,26241900.0,26316300.0,26371608.0,26425744.0,26496378.0,26523722.0,26570424.0,26629017.0,26684764.0,26739842.0,26802699.0,26844943.0,26870299.0,26910217.0,26974994.0,27031190.0,27088268.0,27151817.0,27192156.0,27215365.0,27262009.0,27313557.0,27368201.0
8,209300.0,223761.0,278639.0,287174.0,296816.0,313217.0,313211.0,355124.0,364889.0,372266.0,381679.0,394156.0,409939.0,423054.0,440576.0,455422.0,464938.0,472820.0,485332.0,495381.0,512024.0,528379.0,539961.0,542165.0,557204.0,570979.0,586187.0,609445.0,631243.0,686889.0,704742.0,724699.0,780757.0,800799.0,817009.0,831687.0,832723.0,847173.0,859919.0,876097.0,876943.0,901484.0,924947.0,935576.0,954066.0,972060.0,1019416.0,1046640.0,1047703.0,1061907.0,1089653.0,1133732.0,1165790.0,1199979.0,1200280.0,1232096.0,1239039.0,1262328.0,1285898.0,1320575.0,1378562.0,1413334.0,1428551.0,1451398.0,1475619.0,1510575.0,1551393.0,1591554.0,1639579.0,1664752.0,1692343.0,1720668.0,1756207.0,1792685.0,1837148.0,1889755.0,1908869.0,1934660.0,1978286.0,2010121.0,2046950.0,2099453.0,2143097.0,2193270.0,2231953.0,2276754.0,2312508.0,2349784.0,2382398.0,2418793.0,2447138.0,2466259.0,2491259.0,2518244.0,2541410.0,2542919.0,2592016.0,2604683.0,2619556.0,2639720.0,2658086.0,2677574.0,2697032.0,2708668.0,2714585.0,2722484.0,2739293.0,2760181.0,2774918.0,2788171.0,2804920.0,2821440.0,2831594.0,2838073.0,2847869.0,2880006.0,2903235.0,2914464.0,2923899.0,2944194.0,2958660.0,2959897.0,3011347.0,3027641.0,3036915.0,3049389.0,3063061.0,3075711.0,3090625.0,3104241.0,3115301.0,3126292.0,3134033.0,3145572.0,3158783.0,3159329.0,3171684.0,3181716.0,3193003.0,3193308.0,3203037.0,3212881.0,3220595.0,3228763.0,3229167.0,3235921.0,3251443.0,3259030.0,3264597.0,3274381.0,3280296.0,3283705.0,3288025.0,3294321.0,3301856.0,3306972.0,3315973.0,3321574.0,3324776.0,3329750.0,3335253.0,3342035.0,3345721.0,3353063.0,3356652.0,3359951.0,3363971.0,3368344.0,3368683.0,3383013.0,3385209.0,3388403.0,3392667.0,3397206.0,3401495.0,3406138.0,3409535.0,3411780.0,3413839.0,3419068.0,3424639.0,3429442.0,3435690.0,3440056.0,3442761.0,3446952.0,3452178.0,3458390.0,3464422.0,3472145.0,3477989.0,3481702.0,3485478.0,3492620.0,3499965.0,3507478.0,3514870.0,3521775.0,3525132.0,3529475.0,3534887.0,3540895.0,3551100.0,3558864.0,3564363.0,3568136.0,3572777.0,3579439.0,3585714.0,3591976.0,3598564.0,3604686.0,3607558.0,3611638.0,3617659.0,3623747.0,3629716.0,3636131.0,3642054.0,3645166.0,3649243.0,3654920.0,3655386.0,3666194.0
9,156366.0,166722.0,201664.0,213145.0,230913.0,248753.0,264042.0,275126.0,282674.0,291257.0,302710.0,315317.0,329149.0,340886.0,349879.0,357588.0,361495.0,365975.0,375795.0,387627.0,395554.0,402227.0,406697.0,412601.0,423296.0,437058.0,450204.0,462710.0,473106.0,494373.0,509165.0,525133.0,558539.0,572145.0,579380.0,592976.0,600303.0,615837.0,627101.0,650134.0,674181.0,690663.0,712375.0,719571.0,736848.0,759702.0,822106.0,856048.0,883688.0,897576.0,920595.0,948575.0,984384.0,933227.0,933367.0,952509.0,964706.0,977155.0,993878.0,1014611.0,1034439.0,1057505.0,1079370.0,1093483.0,1108552.0,1131532.0,1155239.0,1178160.0,1202316.0,1225480.0,1244384.0,1262503.0,1284258.0,1307704.0,1338982.0,1365965.0,1385278.0,1389383.0,1414139.0,1447944.0,1486441.0,1519748.0,1555580.0,1583584.0,1603712.0,1629882.0,1654786.0,1689462.0,1717977.0,1744185.0,1762218.0,1776427.0,1793931.0,1815120.0,1835971.0,1858560.0,1878986.0,1897401.0,1907736.0,1923029.0,1937627.0,1952869.0,1967859.0,1980863.0,1990235.0,1995763.0,2002749.0,2014587.0,2025677.0,2034240.0,2043434.0,2053599.0,2060086.0,2065427.0,2072166.0,2089008.0,2104203.0,2118098.0,2127484.0,2135973.0,2150515.0,2164655.0,2181139.0,2182355.0,2203374.0,2209618.0,2216338.0,2227382.0,2237802.0,2245018.0,2251353.0,2261237.0,2263604.0,2267966.0,2273295.0,2273773.0,2287436.0,2293608.0,2296853.0,2300700.0,2306716.0,2306992.0,2314257.0,2319526.0,2323728.0,2328132.0,2333883.0,2339636.0,2344081.0,2349262.0,2352667.0,2356772.0,2358724.0,2361400.0,2365490.0,2369539.0,2373795.0,2378165.0,2382234.0,2384309.0,2387807.0,2392184.0,2395831.0,2396382.0,2402617.0,2406836.0,2407644.0,2410888.0,2414765.0,2421411.0,2424309.0,2426257.0,2428910.0,2432435.0,2436011.0,2439162.0,2442239.0,2445411.0,2447320.0,2450458.0,2454700.0,2459243.0,2463515.0,2467738.0,2471065.0,2473486.0,2477376.0,2482004.0,2487176.0,2491746.0,2496708.0,2500752.0,2501155.0,2505160.0,2510791.0,2516437.0,2521720.0,2526794.0,2530916.0,2533958.0,2537740.0,2541953.0,2547196.0,2553252.0,2557518.0,2561549.0,2564239.0,2567931.0,2572523.0,2577586.0,2582447.0,2587258.0,2587849.0,2593628.0,2597029.0,2602094.0,2607813.0,2612564.0,2617179.0,2621525.0,2624686.0,2632223.0,2632660.0,2636820.0
11,29927.0,31667.0,39747.0,41135.0,43377.0,44773.0,47088.0,49292.0,50902.0,51399.0,53590.0,55599.0,57152.0,59570.0,61737.0,63208.0,64241.0,65207.0,66645.0,69999.0,71810.0,73505.0,75351.0,75351.0,75351.0,79776.0,80772.0,81699.0,84740.0,87243.0,88287.0,88924.0,106692.0,107751.0,109045.0,71399.0,72181.0,73826.0,74825.0,76194.0,120539.0,83668.0,84724.0,85368.0,87114.0,90190.0,95302.0,98505.0,100571.0,102392.0,105267.0,108700.0,112244.0,115660.0,120982.0,126422.0,128836.0,133611.0,136208.0,139568.0,142923.0,147691.0,150379.0,152058.0,154836.0,159355.0,163251.0,168663.0,175453.0,181374.0,185928.0,193796.0,198018.0,202602.0,208953.0,214219.0,216518.0,218769.0,220702.0,230713.0,236659.0,244653.0,250917.0,256132.0,260750.0,263823.0,270051.0,275427.0,281190.0,288396.0,294659.0,297607.0,301868.0,305618.0,310555.0,315394.0,319465.0,324137.0,326687.0,330670.0,334206.0,337803.0,341552.0,344415.0,346567.0,347171.0,349238.0,350697.0,354000.0,357991.0,360914.0,363961.0,366484.0,369925.0,371201.0,375790.0,379065.0,381520.0,383078.0,384233.0,386455.0,388817.0,390523.0,393181.0,394259.0,395158.0,396264.0,397218.0,399580.0,401192.0,402041.0,403411.0,403743.0,404264.0,405393.0,406506.0,406810.0,408830.0,409540.0,410171.0,411039.0,411129.0,412337.0,413373.0,415522.0,416216.0,417466.0,419800.0,420635.0,423813.0,424482.0,425069.0,425695.0,426224.0,427158.0,427963.0,428669.0,429801.0,430821.0,431271.0,432227.0,432968.0,433940.0,434887.0,435507.0,436301.0,436435.0,437291.0,437937.0,439258.0,439957.0,440249.0,440681.0,441331.0,441958.0,443453.0,444071.0,444624.0,444270.0,444846.0,445439.0,445987.0,446790.0,447604.0,448111.0,448769.0,449199.0,449779.0,450511.0,451433.0,452423.0,453196.0,453566.0,454129.0,454986.0,455893.0,457192.0,458794.0,459388.0,459981.0,460559.0,461662.0,462721.0,463601.0,464352.0,465012.0,465597.0,466176.0,467085.0,468046.0,468885.0,469746.0,470302.0,470930.0,471471.0,472375.0,473151.0,474086.0,474926.0,475717.0,476139.0,476947.0,477688.0,478419.0
10,25649.0,25649.0,35679.0,38610.0,41900.0,45292.0,49442.0,52586.0,55131.0,56646.0,64952.0,68959.0,72684.0,76980.0,82970.0,84482.0,85143.0,88325.0,89727.0,92265.0,94962.0,98450.0,100736.0,101383.0,103319.0,105760.0,108096.0,111918.0,114564.0,117600.0,118666.0,121487.0,130818.0,133187.0,133251.0,132160.0,132655.0,133489.0,135362.0,138321.0,143880.0,144139.0,145722.0,145892.0,149940.0,154498.0,163954.0,169956.0,172568.0,174037.0,174501.0,184777.0,190252.0,196931.0,197168.0,208306.0,211783.0,218487.0,225478.0,231420.0,238813.0,246522.0,251478.0,252231.0,258688.0,265056.0,272395.0,278731.0,285100.0,290527.0,295396.0,302043.0,309700.0,318248.0,326506.0,332492.0,338164.0,339803.0,344543.0,349683.0,356640.0,362848.0,369664.0,373330.0,377146.0,382813.0,388589.0,394951.0,400065.0,405029.0,408113.0,411326.0,417489.0,423046.0,428683.0,433501.0,439329.0,441610.0,443905.0,447134.0,450711.0,454621.0,458536.0,461551.0,462816.0,464102.0,466826.0,467051.0,473436.0,475946.0,478333.0,480333.0,482604.0,484079.0,485440.0,490115.0,493361.0,495609.0,496857.0,498600.0,499588.0,503642.0,508973.0,512594.0,515089.0,517131.0,518914.0,521179.0,526576.0,529860.0,531933.0,534442.0,535018.0,535696.0,537663.0,537788.0,541396.0,542781.0,543542.0,543897.0,544590.0,545834.0,547261.0,548681.0,549982.0,551054.0,551139.0,553340.0,554681.0,556190.0,556266.0,557801.0,558318.0,558972.0,559891.0,560657.0,561963.0,563481.0,564634.0,565077.0,565910.0,567064.0,568173.0,569300.0,570150.0,571187.0,571358.0,572068.0,572914.0,574678.0,575285.0,575813.0,576323.0,577058.0,577939.0,578647.0,579355.0,580278.0,580449.0,581025.0,581960.0,583147.0,584217.0,585291.0,585342.0,586651.0,587442.0,588471.0,589786.0,591094.0,592392.0,593434.0,594107.0,594903.0,596160.0,597555.0,598901.0,600191.0,601201.0,601953.0,602903.0,603689.0,605027.0,606818.0,606921.0,608891.0,609575.0,610487.0,611730.0,612975.0,614221.0,614353.0,616365.0,616937.0,617690.0,618952.0,620164.0,621419.0,622613.0,623498.0,624092.0,624871.0,625906.0,627003.0
